time,ax,ay,az,gx,gy,gz,mx,my,mz
1734660162.2501066,340.39307,119.384766,918.82324,-1.7623901,-116.94336,29.151917,-215.06868,-265.25137,86.3906
1734660162.2542186,332.8247,97.473145,894.71436,-2.166748,-119.46869,30.87616,-215.06868,-265.25137,86.3906
1734660162.2583022,343.26172,59.32617,927.124,-0.9460449,-122.039795,32.989502,-215.06868,-265.25137,86.3906
1734660162.2625527,379.6997,-3.3569336,890.9302,-0.9841919,-126.182556,33.958435,-215.06868,-265.25137,86.3906
1734660162.266572,420.10498,-27.832031,865.1123,0.869751,-130.70679,33.836365,-215.06868,-265.25137,86.3906
1734660162.2746696,443.11523,-17.700195,860.9009,4.386902,-134.10187,33.27942,-215.06868,-265.25137,86.3906
1734660162.278817,451.35498,18.249512,886.16943,8.430481,-134.78088,32.806396,-215.06868,-265.25137,86.3906
1734660162.2828765,434.08203,66.52832,918.7622,11.2838745,-133.5907,31.593323,-215.06868,-265.25137,86.3906
1734660162.2888992,431.2744,37.841797,930.96924,11.581421,-131.83594,31.11267,-215.06868,-265.25137,86.3906
1734660162.2959614,435.6079,34.973145,932.6172,12.168884,-129.24957,30.891418,-215.06868,-265.25137,86.3906
1734660162.2991102,462.09717,63.293457,900.3906,11.512756,-127.334595,30.281067,-215.06868,-265.25137,86.3906
1734660162.3048453,464.17236,22.460938,894.4702,11.024475,-125.564575,29.930115,-93.19643,-265.25137,124.40247
1734660162.3074741,477.05078,59.265137,922.48535,10.169983,-123.26813,30.37262,-93.19643,-265.25137,124.40247
1734660162.3155248,509.09424,79.04053,924.74365,5.2719116,-121.421814,30.601501,-93.19643,-265.25137,124.40247
1734660162.3213239,539.978,54.138184,924.6216,-0.289917,-118.7439,31.227112,-93.19643,-265.25137,124.40247
1734660162.3238025,553.6499,80.078125,898.7427,-3.6087036,-112.86163,32.424927,-93.19643,-265.25137,124.40247
1734660162.3290138,532.34863,83.43506,890.625,-6.904602,-105.93414,32.62329,-93.19643,-265.25137,124.40247
1734660162.3320847,530.0293,35.949707,863.09814,-9.422302,-97.90802,32.211304,-93.19643,-265.25137,124.40247
1734660162.340188,537.41455,12.390137,868.9575,-9.979248,-89.44702,30.563354,-93.19643,-265.25137,124.40247
1734660162.3441975,582.0923,-72.75391,837.21924,-9.864807,-81.06232,29.36554,-93.19643,-265.25137,124.40247
1734660162.3490856,598.4497,-32.714844,818.84766,-6.3171387,-72.128296,28.800964,-93.19643,-265.25137,124.40247
1734660162.3565972,590.20996,-10.437012,817.07764,-3.2577515,-64.68201,28.388977,-93.19643,-265.25137,124.40247
1734660162.3627746,588.62305,6.713867,816.77246,0.5493164,-58.761597,27.83966,-93.19643,-265.25137,124.40247
1734660162.364707,575.5615,47.36328,823.18115,3.479004,-56.46515,27.45819,-93.19643,-265.25137,124.40247
1734660162.3717594,583.74023,32.226563,808.04443,4.6157837,-56.991577,28.48053,-93.19643,-265.25137,124.40247
1734660162.3769403,588.25684,33.569336,822.32666,7.217407,-57.69348,30.693054,-93.19643,-265.25137,124.40247
1734660162.3810594,578.18604,-0.6713867,832.9468,10.269165,-59.524536,32.65381,-93.19643,-265.25137,124.40247
1734660162.388595,570.55664,-6.7749023,827.8198,13.85498,-62.652588,33.935547,-93.19643,-265.25137,124.40247
1734660162.3893454,563.78174,5.2490234,829.5288,16.87622,-65.90271,35.38513,-93.19643,-265.25137,124.40247
1734660162.3955116,577.4536,9.277344,834.2285,18.966675,-68.12286,35.80475,-93.19643,-265.25137,124.40247
1734660162.3976283,593.6279,9.70459,819.9463,20.622253,-68.351746,34.90448,-93.19643,-265.25137,124.40247
1734660162.4056137,600.1587,15.930176,808.8989,22.537231,-65.75012,33.62274,-93.19643,-265.25137,124.40247
1734660162.4097483,583.1909,25.146484,815.73486,24.261475,-61.904907,31.425476,-93.19643,-265.25137,124.40247
1734660162.4139721,569.8242,9.155273,793.33496,25.382996,-58.532715,28.373718,-93.19643,-265.25137,124.40247
1734660162.4221072,573.54736,16.113281,789.917,26.71051,-55.473328,25.634766,-93.19643,-265.25137,124.40247
1734660162.4289894,582.70264,32.104492,793.0908,27.755737,-51.76544,23.719788,-93.19643,-265.25137,124.40247
1734660162.4306138,589.1113,48.217773,809.3872,28.59497,-47.218323,22.125244,-34.052544,-252.7057,112.30779
1734660162.4342873,594.84863,49.072266,819.51904,28.518677,-42.57965,20.858765,-34.052544,-252.7057,112.30779
1734660162.438422,608.1543,47.24121,822.7539,27.84729,-38.024902,20.02716,-34.052544,-252.7057,112.30779
1734660162.4465857,618.2251,48.339844,829.28467,26.641846,-33.27942,19.454956,-34.052544,-252.7057,112.30779
1734660162.4507089,618.34717,40.34424,829.0405,24.307251,-28.434753,18.882751,-34.052544,-252.7057,112.30779
1734660162.4547634,614.1968,38.757324,818.1763,21.522522,-23.162842,18.089294,-34.052544,-252.7057,112.30779
1734660162.4589257,612.24365,34.057617,806.3965,18.64624,-17.219543,17.089844,-34.052544,-252.7057,112.30779
1734660162.463151,613.95264,35.705566,800.78125,16.151428,-9.933472,15.548706,-34.052544,-252.7057,112.30779
1734660162.473587,609.5581,44.6167,808.7158,14.160156,-1.0681152,13.282776,-34.052544,-252.7057,112.30779
1734660162.4765422,609.375,55.786133,818.7866,11.962891,8.781433,10.383606,-34.052544,-252.7057,112.30779
